Name,Country,Link,Tor Onion  Service,Feed,Telegram (☑️),Telegram (unofficial),Shortwave Radio
BBC,United Kingdom,,https://www.bbcweb3hytmzhn5d532owbu6oqadra5z3ar726vq5kgwwn6aucdccrad.onion/russian,https://feeds.bbci.co.uk/russian/rss.xml,https://t.me/bbcrussian,,15735 kHz 1400–1600 GMT (Kyiv is GMT+2) and 5875 kHz 2000-2200 GMT (Kyiv is GMT+2).
BNG,Bulgaria,,,https://bnr.bg/ru/rss/news,,,
Dagens Nyheter,Sweden,https://www.dn.se/om/news-in-russian/,,https://www.dn.se/rss/om/news-in-russian/,https://t.me/dagens_nyheter,,
ERR,Estonia,,,https://rus.err.ee/rss,,,
Facebook,USA,https://www.facebook.com/,https://www.facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,,,,
Helsingin Sanomat,Finland,https://www.hs.fi/newsinrussian/,,https://hs.fi/rss/newsinrussian.xml,,https://t.me/hsnewsinrussian,
LRT,Lithuania,,,https://www.lrt.lt/ru/novosti?rss,,,
Meduza,Latvia,https://meduza.io/,,,,https://t.me/meduzalive https://t.me/meduzaevening ,
Politiken,Denmark,https://politiken.dk/News_in_Russian/,,,,,
Radio Prague International,Czech Republic,,,https://ruski.radio.cz/rcz-rss/ru,,,
Tor Project,,https://www.torproject.org/ru,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/,,,,
Twitter,"SF, California, USA",https://twitter.com/,https://twitter3e4tixl4xyajtrzo62zg5vztmjuricljdp2c5kshju4avyoid.onion/,,,,
YLE Novosti,Finland,https://yle.fi/novosti,,https://feeds.yle.fi/uutiset/v1/recent.rss?publisherIds=YLE_NOVOSTI,,https://t.me/Finland_News_RUS,
